"","Sampling Date","Sampling Location","Total fluorescence","PARAFAC C1","PARAFAC C2","PARAFAC C3","PARAFAC C4","PARAFAC C5","FI","HIX","Slope ratio","Drip water d13C_DIC","Drip water d18O","Normalized drip rate","Drip water Ca concentration (ppm)","Drip water Sr concentration (ppm)","Drip water Y concentration (ppm)","Drip water Cu concentration (ppm)"
"44",2021-01-16,"GLO",8.178016969,0.017050979,0.000265885,0.004107636,0.002383235,0.005791694,1.815944741,0.816748816,0.65140088,-13.27028296,-5.630323776,0.527777777777778,41.60315919,0.043530299,3.41e-05,0.000533609
"45",2021-01-16,"SNO",35.972387,0.074356483,0,0.012601721,0.00131674,0.029156929,1.601243464,0.889133605,0.398525364,NA,NA,NA,NA,NA,NA,NA
"46",2021-01-16,"FOR",48.68738553,0.089897709,0.009929821,0.032345502,0.006009097,0.038606245,1.663474523,0.733202336,1.163880188,-14.76485337,-6.103734994,0.372881355932203,68.50852763,0.06400648,5.14e-05,0.000242098
"47",2021-01-16,"GRA",7.76418815,0.011352955,0.001300127,0.008259955,0.00153979,0.0069282,1.262634137,0.654323008,0.394068967,-13.3407095,-5.881579894,0.830645161290323,49.94884544,0.042572323,NA,0.001087141
"48",2021-01-16,"MUS",10.93596843,0.020735401,0.004664173,0.008177012,0.000564518,0.008076326,1.766956044,0.741507483,0.38230563,NA,-5.90067718,-2.63,52.5387798,0.063771982,3.51e-06,0.000114354
"49",2021-01-16,"SKY",21.92651955,0.026382171,0.020851358,0.057701385,0.003004534,0.012546244,1.514915877,0.38590589,0.866099466,NA,-6.05722533,0.916674305619213,51.94283795,0.055941295,0.000148168,0.000799251
"50",2021-01-16,"PLA",23.92823407,0.040012566,0.009519705,0.034461343,0.005292274,0.014838462,1.77276529,0.592307518,-0.448495574,-12.23463486,-6.48600242,0.425675675675676,48.40653193,0.056178131,6.71e-05,0.000277647
"51",2021-02-13,"SNO",50.83640683,0.093829748,2.3e-19,0.044697569,0,0.03963965,1.556357197,0.827735231,0.807343606,NA,NA,NA,NA,NA,NA,NA
"52",2021-02-13,"MUS",11.0696094,0.021609431,5.01e-20,0.007318255,0,0.008913419,1.537102362,0.905904439,1.152774366,NA,-6.695638977,-3.44,52.86662361,0.054546559,8.65e-06,0.000298815
"53",2021-02-13,"GLO",9.526824486,0.018970679,1.24e-20,0.006965091,0,0.007245578,1.745854896,0.893736003,0.979854534,-13.84952152,-6.029577933,0.888888888888889,41.59142279,0.038666526,2.42e-05,0.000299576
"54",2021-02-13,"FOR",55.94912165,0.094117685,2.99e-19,0.078246729,0,0.041571419,1.638949323,0.718165816,1.342475236,-14.74012439,-7.107914911,0.610169491525424,49.27076409,0.05126282,1.17e-06,0.000134917
"55",2021-02-13,"GRA",7.069566362,0.010539594,0,0.001113589,0.00010333,0.008647977,1.386348054,0.991878726,1.056700744,-13.44812678,-6.483875806,1,43.47325864,0.036964302,8.07e-06,2.29e-05
"56",2021-02-13,"PLA",16.87008386,0.037472769,5.41e-20,0.006569561,0,0.012026943,1.649699568,0.95595043,-0.497003485,-11.51776646,-6.058192738,0.554054054054054,46.1054378,0.048351127,6.2e-05,7.13e-05
"57",2021-02-13,"SKY",15.08052836,0.027568066,8.81e-20,0.016567547,0,0.011296041,1.522491901,0.816032836,0.71322961,NA,-6.679258449,1,47.10914754,0.04598232,5.44e-05,0.000885138
"58",2021-05-16,"SNO",26.76608817,0.056566536,4.24e-20,0.005892357,0,0.022298026,1.619578862,0.961105289,0.666444111,NA,NA,NA,NA,NA,NA,NA
"59",2021-05-16,"GLO",9.812994965,0.019743441,0,0.003639794,0.001169209,0.008246775,1.689494352,0.953959533,1.17861203,NA,NA,NA,NA,NA,NA,NA
"60",2021-05-16,"MUS",10.62774753,0.020603697,0,0.004004333,0,0.009533603,1.358120229,0.919480968,1.193461753,-12.32481792,NA,-2.56,55.21961086,0.056551108,7.81e-06,5.21e-05
"61",2021-05-16,"FOR",32.42554823,0.065915575,4.55e-19,0.008168378,0,0.028321366,1.653772061,0.947452823,0.829713909,NA,NA,NA,NA,NA,NA,NA
"62",2021-05-16,"PLA",9.015435983,0.018656422,5.2e-22,0.002469115,0,0.007916662,1.78367656,0.954432508,0.636728741,-11.65049569,NA,0.331081081081081,47.14530622,0.048450634,4.99e-05,4.73e-05
"63",2021-05-16,"SKY",22.65224612,0.028950601,0.020611864,0.057239109,0,0.014810153,1.711995002,0.563021642,1.026397606,NA,NA,NA,NA,NA,NA,NA
